"agency","Program Name","Fiscal_Year"
"DOC","National Oceanic and Atmospheric Administration (NOAA)","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","2022"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","2022"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","2022"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","2021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","2022"
"DOC","National Technical Information Service (NTIS)","2021"
"DOC","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","2021"
"DOC","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","2022"
"DOC","National Telecommunications and Information Administration (NTIA)","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program","2022"
"DOC","National Telecommunications and Information Administration (NTIA) - State and Local Grant Implementation Program","2021"
"DOC","National Telecommunications and Information Administration (NTIA) - State and Local Grant Implementation Program","2022"
"DOC","NTIA - Information Infrastructure Grants","2021"
"DOC","Office of Inspector General (OIG) - Department of Commerce","2021"
"DOC","Office of Inspector General (OIG) - Department of Commerce","2022"
"DOC","Office of the Secretary (OS)","2021"
"DOC","Office of the Secretary (OS) - Departmental Management","2021"
"DOC","Office of the Secretary (OS) - Departmental Management","2022"
"DOC","U.S. Patent and Trademark Office","2021"
"DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","2021"
"DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","2022"
"DOE","Benefits - Payroll","2021"
"DOE","Benefits - Payroll","2022"
"DOE","Benefits - Travel","2021"
"DOE","Benefits - Travel","2022"
"DOE","Financial Assistance Awards","2021"
"DOE","Financial Assistance Awards","2022"
"DOE","Loans","2021"
"DOE","Loans","2022"
"DOE","Other","2021"
"DOE","Other","2022"
"DOE","Vendors/Contracts","2021"
"DOE","Vendors/Contracts","2022"
"DOI","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520","2021"
"DOI","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520","2022"
"DOI","Assistance to Territories, Insular Affairs, Interior","2021"
"DOI","Assistance to Territories, Insular Affairs, Interior","2022"
"DOI","California Water Security and Environmental Enhancement","2021"
"DOI","California Water Security and Environmental Enhancement","2022"
"DOI","Centennial Challenge, National Park Service, Interior","2021"
"DOI","Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior","2021"
"DOI","Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior","2022"
"DOI","Child Care Entitlement to States, Administration for Children and Families, Health and Human Services for Bureau of Indian Affairs, Interior","2022"
"DOI","Childcare Entitlement to States, Health and Human Services","2021"
"DOI","Colorado River Basin Act of 1968","2021"
"DOI","Colorado River Basin Act of 1968","2022"
"DOI","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior","2021"
"DOI","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior","2022"
"DOI","Compact of Free Association, Insular Affairs, Interior","2021"
"DOI","Compact of Free Association, Insular Affairs, Interior","2022"
"DOI","Concessioner Improvement Accounts, National Park Service, Interior","2021"
"DOI","Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H","2021"
"DOI","Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H","2022"
"DOI","Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE","2021"
"DOI","Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE","2022"
"DOI","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2021"
"DOI","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2022"
"DOI","Contribution for Annuity Benefits, National Park Service, Interior","2021"
"DOI","Contribution for Annuity Benefits, National Park Service, Interior","2022"
"DOI","Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service, Interior","2022"
"DOI","Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service","2021"
"DOI","Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service","2022"
"DOI","Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior","2021"
"DOI","Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior","2022"
"DOI","Departmental Operations, Office of the Secretary, Interior","2021"
"DOI","Departmental Operations, Office of the Secretary, Interior","2022"
"DOI","Departmental Operations, Office of the Secretary, National Park Service, Interior","2022"
"DOI","Departmental Operations, Office of the Secretary, U.S. Fish and Wildlife Service, Interior","2022"
"DOI","Departmental Operations, Office of the Secretary, U.S. Geological Survey, Interior","2022"
"DOI","Donations, National Park Service, Interior","2021"
"DOI","Donations, National Park Service, Interior","2022"
"DOI","Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2022"
"DOI","Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service","2021"
"DOI","Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service","2022"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization) DOT, U.S. Fish and Wildlife Service, Interior","2021"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization) DOT, U.S. Fish and Wildlife Service, Interior","2022"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), Bureau of Indian Affairs, Interior","2021"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), Bureau of Indian Affairs, Interior","2022"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), National Park Service, Interior","2021"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), National Park Service, Interior","2022"
"DOI","Federal Trust Programs, Bureau of Trust Funds Administration, Interior","2021"
"DOI","Federal Trust Programs, Bureau of Trust Funds Administration, Interior","2022"
"DOI","Funds Reserved, Oregon and California Grant Lands, Bureau of Land Management, Interior","2021"
"DOI","Funds Reserved, Oregon and California Grant Lands, Bureau of Land Management, Interior","2022"
"DOI","Guaranteed Loan Financing Account, Bureau of Indian Affairs, Interior","2022"
"DOI","Helium Fund, Bureau of Land Management, Interior","2021"
"DOI","Helium Fund, Bureau of Land Management, Interior","2022"
"DOI","Highway Infrastructure Programs, Federal Highway Administration, Transportation, Bureau of Indian Affairs, Interior","2022"
"DOI","Historic Preservation Fund Grants-In-Aid","2021"
"DOI","Historic Preservation Fund Grants-In-Aid","2022"
"DOI","Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2021"
"DOI","Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2022"
"DOI","Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2021"
"DOI","Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior","2022"
"DOI","Interior Franchise Fund, Departmental Management, Interior","2021"
"DOI","Interior Franchise Fund, Departmental Management, Interior","2022"
"DOI","Land Acquisition and State Assistance, National Park Service","2021"
"DOI","Land Acquisition and State Assistance, National Park Service","2022"
"DOI","Land Acquisition, Bureau of Land Management, Interior","2022"
"DOI","Land Acquisition, United States Fish and Wildlife Service","2021"
"DOI","Land Acquisition, United States Fish and Wildlife Service","2022"
"DOI","Land and Resources Management Trust Fund, Bureau of Land Management, Interior","2021"
"DOI","Land and Resources Management Trust Fund, Bureau of Land Management, Interior","2022"
