"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DHS","2025","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","0","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Fleet Card","","","No",""
"DHS","2022","Federal Emergency Management Agency - Fleet Card","","","No",""
"DHS","2025","Federal Emergency Management Agency - Fleet Card","","","No",""
"DHS","2017","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","","","No",""
"DHS","2018","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","","No","No",""
"DHS","2020","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","0","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - FRM Risk Map - Disaster Supplemental Funds","","","No",""
"DHS","2022","Federal Emergency Management Agency - FRM Risk Map - Disaster Supplemental Funds","","","No",""
"DHS","2025","Federal Emergency Management Agency - FRM Risk Map - Disaster Supplemental Funds","","","No",""
"DHS","2022","Federal Emergency Management Agency - Funeral Assistance","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Funeral Assistance","0","","Yes","Yes"
"DHS","2024","Federal Emergency Management Agency - Funeral Assistance","0","","Yes","Yes"
"DHS","2025","Federal Emergency Management Agency - Funeral Assistance","0","","Yes","Yes"
"DHS","2017","Federal Emergency Management Agency - Hazard Mitigation Grant Program","","","No",""
"DHS","2020","Federal Emergency Management Agency - Hazard Mitigation Grant Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Hazard Mitigation Grant Program","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Hazard Mitigation Grant Program","","","No","No"
"DHS","2023","Federal Emergency Management Agency - Hazard Mitigation Grant Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Hazard Mitigation Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Hazard Mitigation Grant Program","0","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds","","Yes","Yes","Yes"
"DHS","2022","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds","","","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Hazard Mitigation Grant Program - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Hermit's Peak","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Hermit's Peak","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Homeland Security Grant Program","","","No",""
"DHS","2018","Federal Emergency Management Agency - Homeland Security Grant Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Homeland Security Grant Program","","","No",""
"DHS","2020","Federal Emergency Management Agency - Homeland Security Grant Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Homeland Security Grant Program","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Homeland Security Grant Program","","","No","No"
"DHS","2023","Federal Emergency Management Agency - Homeland Security Grant Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Homeland Security Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Homeland Security Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Infrastructure Investment and Jobs Act Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Interagency Agreements","","","No",""
"DHS","2025","Federal Emergency Management Agency - Interagency Agreements - Disaster Supplemental Funds","","","No",""
"DHS","2017","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No",""
"DHS","2018","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No",""
"DHS","2019","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No",""
"DHS","2020","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No",""
"DHS","2021","Federal Emergency Management Agency - Intercity Bus Security Grants","","No","No",""
"DHS","2022","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No",""
"DHS","2023","Federal Emergency Management Agency - Intercity Bus Security Grants","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Intercity Bus Security Grants","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Intercity Bus Security Grants","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Intercity Passenger Rail Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - Litigation Settlement","","","No",""
"DHS","2021","Federal Emergency Management Agency - Lost Wages","","","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Lost Wages","","","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Lost Wages","","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Lost Wages","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Mission Assignments","","","No",""
"DHS","2025","Federal Emergency Management Agency - Mitigation: Flood Mitigation Assistance - Swift Current","","","No",""
"DHS","2021","Federal Emergency Management Agency - National Dam Safety Program","","","No",""
"DHS","2022","Federal Emergency Management Agency - National Dam Safety Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - National Dam Safety Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - National Dam Safety Program: Rehabilitation of High Hazard Potential Dam Grant Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - National Domestic Preparedness Consortium","","","No",""
"DHS","2025","Federal Emergency Management Agency - National Earthquake Hazard Reduction Grant Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - National Flood Insurance Fund - Mandatory Flood Mitigation Assistance Grants","","","No",""
"DHS","2025","Federal Emergency Management Agency - Next Generation Warning System Grant Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Nonprofit Security Grant Program","","No","No",""
"DHS","2020","Federal Emergency Management Agency - Nonprofit Security Grant Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Nonprofit Security Grant Program","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Nonprofit Security Grant Program","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Nonprofit Security Grant Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Nonprofit Security Grant Program","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Nonprofit Security Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Other Claims and Indemnities","","","No",""
"DHS","2020","Federal Emergency Management Agency - Payroll","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Payroll","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Payroll","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Payroll","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Payroll","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Payroll","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","No",""
"DHS","2018","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","No",""
"DHS","2019","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","No",""
"DHS","2020","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","Yes","Yes"
"DHS","2022","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","","","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Port Security Grant Program","","","No",""
"DHS","2018","Federal Emergency Management Agency - Port Security Grant Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Port Security Grant Program","","No","Yes","No"
"DHS","2020","Federal Emergency Management Agency - Port Security Grant Program","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Port Security Grant Program","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Port Security Grant Program","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Port Security Grant Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Port Security Grant Program","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Port Security Grant Program","0","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Pre-Disaster Mitigation","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Pre-Disaster Mitigation","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Pre-Disaster Mitigation","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Pre-Disaster Mitigation","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Pre-Disaster Mitigation","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Preparedness: Assistance to Firefighters Grants Program - Fire Prevention and Safety","","","No",""
"DHS","2025","Federal Emergency Management Agency - Preparedness: Tribal Cybersecurity Grant Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Preparedness: Tribal Homeland Security Grant Program","","","No",""
"DHS","2017","Federal Emergency Management Agency - Public Assistance","","","No",""
"DHS","2018","Federal Emergency Management Agency - Public Assistance","","","No",""
"DHS","2019","Federal Emergency Management Agency - Public Assistance","","","Yes","No"
"DHS","2020","Federal Emergency Management Agency - Public Assistance","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Public Assistance","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Public Assistance","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Public Assistance","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Public Assistance","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Public Assistance","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","No",""
"DHS","2018","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","No",""
"DHS","2019","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","No",""
"DHS","2020","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","Yes","Yes"
"DHS","2021","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","Yes","Yes"
"DHS","2022","Federal Emergency Management Agency - Public Assistance - Validate as You Go","","","Yes","Yes"
"DHS","2023","Federal Emergency Management Agency - Public Assistance - Validate as You Go","0","","No","Yes"
"DHS","2024","Federal Emergency Management Agency - Public Assistance - Validate as You Go","0","","Yes","Yes"
