"Agency","Program Name","Assistance Listing Number"
"DOI","Alaska Migratory Bird Co-Management Council","15.643"
"DOI","Alaska Native Science and Engineering","15.442"
"DOI","Alaska Native Science and Engineering","15.013"
"DOI","Alaska Settlement Agreement","15.431"
"DOI","Alaska Subsistence Management","15.636"
"DOI","American Battlefield Protection","15.926"
"DOI","Applied Science Grants","15.557"
"DOI","Aquatic Ecosystem Restoration Program","15.58"
"DOI","Asian Elephant Conservation Fund","15.621"
"DOI","Assistance to State Water Resources Research Institutes","15.805"
"DOI","Attorney Fees Indian Rights","15.053"
"DOI","Battlefield Land Acquisition Grants","15.928"
"DOI","Bay-Delta Restoration Program","15.57"
"DOI","BIA Wildland Urban Interface Community Fire Assistance","15.16"
"DOI","Blackfeet Water Rights Settlement","15.075"
"DOI","Boston African-American National Historic Site","15.938"
"DOI","Bureau of Ocean Energy Management Renewable Energy","15.408"
"DOI","California Refuge Account","15.432"
"DOI","California Water Security and Environmental Enhancement","15.533"
"DOI","Candidate Species Conservation","15.66"
"DOI","Central Africa Regional","15.651"
"DOI","Central Valley Project Conservation","15.564"
"DOI","Central Valley Project Improvement Act (CVPIA)","15.648"
"DOI","Central Valley, Trinity River Division, Trinity River Fish and Wildlife Management","15.532"
"DOI","Challenge Cost Share","15.943"
"DOI","Chesapeake Bay Gateways Network","15.93"
"DOI","Children and Families Services Programs, Administration for Children and Families, Health and Human Services","15.113"
"DOI","Clean Vessel Act","15.616"
"DOI","Coastal Impact Assistance","15.668"
"DOI","Coastal Wetlands Planning, Protection and Restoration","15.614"
"DOI","Colorado River Basin Act of 1968","15.541"
"DOI","Colorado River System Conservation Pilot","15.567"
"DOI","Colorado Ute Indian Water Rights Settlement Act","15.51"
"DOI","Combating Wildlife Trafficking","15.679"
"DOI","Construction, United States Fish and Wildlife Service","15.657"
"DOI","Cooperative Agriculture","15.681"
"DOI","Cooperative Ecosystem Studies Units","15.678"
"DOI","Cooperative Inspection Agreements with States and Tribes","15.222"
"DOI","Cooperative Landscape Conservation","15.669"
"DOI","Cooperative Management of Ebey's Landing National Historical Reserve.","15.956"
"DOI","Cooperative Research Units","15.812"
"DOI","Cooperative Watershed Management","15.554"
"DOI","Cultural and Paleontological Resources Management","15.224"
"DOI","Cultural Resources Management","15.511"
"DOI","Cultural Resources Management","15.946"
"DOI","DOI - HQ Experienced Services Program","15.089"
"DOI","Domestic Water Supply Projects","15.577"
"DOI","Dry-Redwater Rural Water Project Feasibility Study","15.582"
"DOI","Earth Mapping Resources Initiative","15.073"
"DOI","Earthquake Hazards Program Assistance","15.807"
"DOI","Eastern New Mexico Rural Water System","15.553"
"DOI","Education Enhancements","15.151"
"DOI","Education Program Management","15.959"
"DOI","Educational Outreach","15.569"
"DOI","Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention","15.666"
"DOI","Endangered Species on Indian Lands","15.051"
"DOI","Enhanced Hunter Education and Safety","15.626"
"DOI","Environmental Outreach and Conservation - North Cascades","15.942"
"DOI","Equus Beds Division Acquifer Storage Recharge","15.539"
"DOI","Experienced Services Program (ESP)","15.079"
"DOI","Fire Protection Cooperative Agreement","15.087"
"DOI","Fish and Wildlife Coordination Act","15.517"
"DOI","FISH-ABLE Fun with Reclamation","15.55"
"DOI","Flood Control Act Lands","15.433"
"DOI","FOCUS on Student Achievement","15.149"
"DOI","Forestry on Indian Lands","15.035"
"DOI","Fort Peck Reservation Rural Water System","15.516"
"DOI","Garrison Diversion Unit","15.518"
"DOI","Geothermal Resources","15.434"
"DOI","Gifts and Donations, Bureau of Indian Affairs and Bureau of Indian, Interior","15.159"
"DOI","GoMESA","15.435"
"DOI","Good Neighbor Authority","15.015"
"DOI","Good Neighbor Authority - Recreation","15.988"
"DOI","Good Neighbor Authority for Restoration","15.987"
"DOI","Great Ape Conservation Fund - Africa","15.629"
"DOI","Great Ape Conservation Fund-Asia","15.689"
"DOI","Great Lakes Fish and Wildlife Restoration Act","15.688"
"DOI","Great Lakes Restoration","15.662"
"DOI","Great Lakes Sea Lamprey Control","15.687"
"DOI","Groundwork - Brownfield to Greenspace","15.965"
"DOI","Heritage Partnership","15.939"
"DOI","Highway Infrastructure Programs, Federal Highway Administration, Transportation","15.021"
"DOI","Historic Preservation Fund Grants-in-Aid for Competitive Grants","15.966"
"DOI","Hurricane Sandy Disaster Relief Activities-FWS","15.677"
"DOI","Implementation of the Taos Pueblo Indian water rights settlement","15.565"
"DOI","Improvement and Repair of Indian Detention Facilities","15.063"
"DOI","Indian Adult Education","15.026"
"DOI","Indian Child and Family Education","15.043"
"DOI","Indian Child Welfare Act Title II Grants","15.144"
"DOI","Indian Community Fire Protection","15.031"
"DOI","Indian Economic Development","15.032"
"DOI","Indian Education Facilities, Operations, and Maintenance","15.047"
"DOI","Indian Education Higher Education Grant","15.114"
"DOI","Indian Graduate Student Scholarships","15.059"
"DOI","Indian Housing Assistance","15.141"
"DOI","Indian Job Placement United Sioux Tribes Development Corporation","15.061"
"DOI","Indian Law Enforcement","15.03"
"DOI","Indian Loans Economic Development","15.124"
"DOI","Indian Post Secondary Schools","15.058"
"DOI","Indian Rights Protection","15.036"
"DOI","Indian School Equalization","15.042"
"DOI","Indian Schools Student Transportation","15.044"
"DOI","Indian Self-Determination Act Contracts, Grants and Cooperative Agreements","15.241"
"DOI","Indian Self-Determination Contract Support","15.024"
"DOI","Indian Tribal Water Resources Development, Management, and Protection","15.519"
"DOI","Indian Vocational Training United Tribes Technical College","15.06"
"DOI","Invasive Species","15.652"
"DOI","Ironworker Training","15.146"
"DOI","Joint Fire Science Program","15.232"
"DOI","Juvenile Detention Education","15.15"
"DOI","Keweenaw National Historical Park (NHP) Preservation Grants","15.407"
"DOI","Lahontan Valley and Pyramid Lake Fish and Wildlife Fund, United States Fish and Wildlife Service","15.608"
"DOI","Lake Mead/Las Vegas Wash","15.54"
"DOI","Lake Tahoe Regional Wetlands Development","15.543"
"DOI","Land Acquisition Funding Program","15.164"
"DOI","Landowner Incentive Program, U.S. Fish and Wildlife Service","15.63"
"DOI","Late Disbursement Interest","15.436"
"DOI","Latin America and Caribbean Regional","15.64"
"DOI","Lewis and Clark Rural Water System","15.52"
"DOI","Lincoln County Land Act, Bureau of Land Management","15.017"
"DOI","Litigation Support for Indian Rights","15.052"
"DOI","Lower Colorado River Basin Development Fund, Bureau of Reclamation","15.542"
"DOI","Lower Colorado River Multi-Species Conservation","15.538"
"DOI","Lower Rio Grande Valley Water Resources Conservation and Improvement","15.521"
"DOI","Management Initiatives","15.239"
"DOI","Management of Lands and Resources, Bureau of Land Management","15.016"
"DOI","Marine Minerals Activities","15.424"
"DOI","Martin Luther King Junior National Historic Site and Preservation District","15.955"
"DOI","Mexican Wolf Recovery","15.68"
"DOI","Middle Rio Grande Endangered Species Collaborative","15.537"
"DOI","Migratory Bird Conservation","15.647"
"DOI","Migratory Bird Joint Ventures","15.637"
"DOI","Migratory Bird Monitoring, Assessment and Conservation","15.655"
"DOI","Minerals and Mining on Indian Lands","15.038"
"DOI","Minerals Leasing Act","15.437"
"DOI","Mississippi National River and Recreation Area State and Local Assistance","15.941"
"DOI","Multinational Species Conservation Fund, United States Fish and Wildlife Service","15.645"
"DOI","Multistate Conservation Grant","15.628"
"DOI","Musselshell-Judith Rural Water System","15.076"
"DOI","National and Regional Climate Adaptation Science Centers","15.82"
"DOI","National Center for Preservation Technology and Training","15.923"
"DOI","National Cooperative Geologic Mapping","15.81"
"DOI","National Fish Habitat Partnership","15.686"
"DOI","National Fish Passage","15.685"
"DOI","National Forest Acquired Lands","15.438"
"DOI","National Geological and Geophysical Data Preservation","15.814"
"DOI","National Geospatial Program: Building The National Map","15.817"
"DOI","National Ground-Water Monitoring Network","15.98"
"DOI","National Historic Landmark","15.912"
"DOI","National Land Remote Sensing Education Outreach and Research","15.815"
"DOI","National Landscape Conservation System","15.248"
"DOI","National Maritime Heritage Grants","15.925"
"DOI","National Outreach and Communication","15.653"
"DOI","National Park Service Centennial Challenge","15.406"
"DOI","National Petroleum Reserve - Alaska","15.439"
"DOI","National Trails System Projects","15.935"
"DOI","National Wetlands Inventory","15.665"
"DOI","National Wild and Scenic Rivers System","15.962"
"DOI","National Wildland Fire Management and Natural Resource Training and Workforce Development","15.969"
"DOI","Native American Business Development Institute","15.133"
"DOI","Native Hawaiian Climate Resilience Program","15.098"
"DOI","Native Hawaiian Community Guest Stewardship","15.068"
"DOI","Native Language Immersion Grant","15.161"
"DOI","Navajo-Hopi Indian Settlement","15.057"
"DOI","Neotropical Migratory Bird Conservation, U.S. Fish and Wildlife Service","15.635"
"DOI","New Mexico Rio Grande Basin Pueblos Irrigation Infrastructure","15.559"
"DOI","NFWF-USFWS Conservation Partnership","15.663"
"DOI","Nicodemus National Historic Site","15.785"
"DOI","Non-Sale Disposals of Mineral Material","15.214"
"DOI","Not For Profit","15.443"
"DOI","Not-for-Profit AMD Reclamation","15.253"
"DOI","NPS Alaska Subsistence Management","15.984"
"DOI","Office of the Special Trustee for American Indians, Field Operations","15.155"
"DOI","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)","15.037"
"DOI","OSM/VISTA AmeriCorps","15.254"
"DOI","Outdoor Schools in National Parks","15.012"
"DOI","Pacific Northwest and Hawaiian Islands Arts","15.071"
"DOI","Park Concessions Franchise Fees, National Park Service","15.944"
"DOI","Partners for Fish and Wildlife","15.631"
"DOI","Payments in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement","15.252"
"DOI","Permit Processing Fund, Bureau of Land Management","15.236"
"DOI","Platte River Recovery Implementation","15.544"
"DOI","Prescott Marine Mammal Rescue Assistance","15.683"
"DOI","Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).","15.932"
"DOI","Preservation of Japanese American Confinement Sites","15.933"
"DOI","Proceeds from Sales, Water Resource Development Projects, United States Fish and Wildlife Service","15.682"
"DOI","Providing Water to At-Risk Natural Desert Terminal Lakes","15.508"
"DOI","Range Improvements, Bureau of Land Management","15.23"
"DOI","Real Estate Programs Indian Lands","15.04"
"DOI","Reclamation States Emergency Drought Relief","15.514"
"DOI","Recreation Enhancement Fee Program, Bureau of Land Management","15.225"
"DOI","Recreation Resources Management","15.524"
"DOI","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement","15.25"
"DOI","Rehabilitation, Reconstruction, or Replacement of Carey Act Dams","15.077"
"DOI","Rhinoceros and Tiger Conservation Fund","15.619"
"DOI","Rhinoceros Conservation Fund-Africa","15.69"
"DOI","Rivers, Trails and Conservation Assistance","15.921"
"DOI","Road Maintenance Indian Roads","15.033"
"DOI","Rocky Boy's/North Central Montana Regional Water System","15.525"
"DOI","Route 66 Corridor Preservation","15.958"
"DOI","Safety and Environmental Research and Data Collection for Offshore Energy and Mineral Activities","15.441"
"DOI","Safety of Dams on Indian Lands","15.065"
"DOI","Salton Sea Program","15.571"
"DOI","San Gabriel Basin Restoration Fund, Bureau of Reclamation","15.526"
"DOI","San Joaquin River Restoration","15.555"
"DOI","Save America's Treasures","15.929"
"DOI","School Improvement Programs, Education","15.108"
"DOI","Science and Technology Projects Related to Coal Mining and Reclamation","15.255"
"DOI","September 11 National Memorial Trail","15.991"
"DOI","Services to Indian Children, Elderly and Families","15.025"
